title,subclass,description
Bungakushō jushō sakuhin mokuroku. 2005-2009 /,Turkic languages,Includes index.
"The legend of Longinus in ecclesiastical tradition and in English literature, and its connection with the Grail ...",Literature (general),Also available in digital form on the Internet Archive Web site.
"Studies in English and American literature, from Chaucer to the present time; with standard selections from representative writers for critical study and analysis.",English literature,Also available in digital form on the Internet Archive Web site.
"Introduction to English literature, with suggestions for further reading and study, and annotated selections illustrating the successive periods and principal authors,",English literature,Contains bibliographies. Also available in digital form on the Internet Archive Web site.
"A history of American literature, with a view to the fundamental principles underlying its development; a text-book for schools and colleges,",American literature,"""Books of reference"": p. [xiii]-xiv. Also available in digital form on the Internet Archive Web site."
Heian bungaku shinron : kokusaika jidai no shiten kara /,Turkic languages,Japanese; table of contents also in English. Includes bibliographical references.
"Decreasing delinquency, criminal behavior, and recidivism by intervening on psychological factors other than cognitive ability a review of the intervention literature /",Economic theory,"""Research on the causes of delinquency has a long research history, often with an undue focus on how cognitive ability serves as the main predictor of delinquent activity.  The current review examines interventions that focus on psychological factors other than cognitive ability, and discusses how several of these programs have demonstrated efficacy in reducing delinquent behavior.  Our review uncovers certain themes shared by a number of effective interventions.  First, these interventions tend to emphasize rigorous and consistent implementation.  Second, effective interventions often incorporate the family environment.  Third, several effective interventions have focused on promoting adaptive social skills.  In conclusion, our review discusses the possibility that these interventions have proven efficacious in part because they promote adaptive personality trait development""--National Bureau of Economic Research web site."
"American and British authors : a text-book on literature for high school, academies seminaries, normal schools, and collges : also a guide and help in the private study of the best authors and their writings /",English literature,Also available in digital form on the Internet Archive Web site. Also available in digital form on the Internet Archive Web site.
"Meiji no hon'yaku disukūru : Tsubouchi Shōyō, Morita Shiken, Wakamatsu Shizuko /",Turkic languages,Includes bibliographical references and index.
Where He is ...,Practical Theology,Also available in digital form on the Internet Archive Web site.
Open windows: a heart-to-heart diary ...,Practical Theology,Also available in digital form on the Internet Archive Web site.
Political oats. A kernel or two for everybody ...,Grant’s administration,Also available in digital form on the Internet Archive Web site.
"The life ecstatic,",Practical Theology,Also available in digital form on the Internet Archive Web site.
A real treasure for the pious mind.,Practical Theology,Also available in digital form on the Internet Archive Web site.
"The love of the world, a book of religious meditation,",Practical Theology,Also available in digital form on the Internet Archive Web site.
Meditations; a message for all souls.,Practical Theology,Also available in digital form on the Internet Archive Web site.
"Without sound of hammer,",Practical Theology,Also available in digital form on the Internet Archive Web site.
"Faith, hope, love, and duty /",Practical Theology,"LC copy is a copyright deposit: Nov. 27, 1891."
"All things new; or, through dying we live,",Practical Theology,Also available in digital form on the Internet Archive Web site.
Leaves from a minister's portfolio.,Practical Theology,Also available in digital form on the Internet Archive Web site.
Jack the hunchback,Fiction,Also available in digital form.
"The doings of a dear little couple,",Fiction,Also available in digital form.
Buried in the snow.,Fiction,Also available in digital form.
Five little Peppers and their friends,Fiction,Also available in digital form.
Gid Granger : the story of a rough boy,Fiction,Also available in digital form.
The wreck of the circus,Fiction,Also available in digital form.
Elfin land,Fiction,Also available in digital form.
"Aunt Nabby's children,",Fiction,Also available in digital form.
"The religion of joy : God-consciousness, or the religion of joy with God /",Practical Theology,Also available in digital form on the Internet Archive Web site.
"In the hour of silence,",Practical Theology,"""This little volume is a group of brief meditations on some of the things that pertain to the spiritual life.""--Pref. Also available in digital form on the Internet Archive Web site."
"Cheer for life's pilgrimage,",Practical Theology,"""The New York Type-setting Company, The Caxton Press."" Also available in digital form on the Internet Archive Web site."
"The Shepherd and his flock; or, The Keeper of Israel and the sheep of his pasture.",Practical Theology,Also available in digital form on the Internet Archive Web site.
"The triple key to unlock the kingdom of heaven; the way, the truth, the life",Practical Theology,Also available in digital form on the Internet Archive Web site.
Thy will be done; the blessedness of a life in the will of God; meditations for a month.,Practical Theology,Also available in digital form on the Internet Archive Web site.
"Selections from the writings of George MacDonald: or, helps for weary souls,",Practical Theology,Also available in digital form on the Internet Archive Web site.
"Going West, or, The perils of a poor boy",Fiction,Also available in digital form.
Captain Horace,Fiction,Added series title page. Publisher's advertisements at end. Also available in digital form.
Stray meditations:,Practical Theology,Also available in digital form on the Internet Archive Web site.
Clouds and light.,Practical Theology,Also available in digital form on the Internet Archive Web site.
"Visions of the kingdom,",Practical Theology,Also available in digital form on the Internet Archive Web site.
Prudy keeping house,Fiction,Added illustrated title page. Also available in digital form.
Dotty Dimple's flyaway,Fiction,Added illustrated title page. Publisher's advertisements on 6 pages at end. Also available in digital form.
Frank at Don Carlos' rancho,Fiction,Publisher's advertisements on 8 pages at end. Also available in digital form.
Honest Ned,Fiction,Publisher's advertisements on 4 pages at end. Also available in digital form.
Through jungle and wilderness,Fiction,Publisher's advertisements on 2 pages at end. Also available in digital form.
The doctor's daughter,Fiction,Publisher's advertisements at end. Also available in digital form.
"Helen over the wall ; the adventures with the fairy godmother,",Fiction,Also available in digital form.
The child of the Island Glen,Fiction,Also available in digital form. LC copy is a copyright deposit: 1900.
Two Biddicut boys and their adventures with a wonderful trick-dog,Fiction,Also available in digital form.
The white cave,Fiction,"LC copy is a copyright deposit: Sep. 15, 1893. Also available in digital form."
"A little casket of precious jewels; a daily companion which when rightly used will bring the Christian into a life of abiding fellowship with God,",Practical Theology,Also available in digital form on the Internet Archive Web site.
"Our Elder Brother; thoughts for every Sunday in the year, from the life and words of Jesus of Nazareth,",Practical Theology,Also available in digital form on the Internet Archive Web site.
"Princess Ilse : a story of the Harz Mountains ; and, The Will-o'-the wisp",Fiction,Published anonymously. LC copy by bequest of W.S. Shoemaker. Also available in digital form.
"Oldham, or, Beside all waters",Fiction,Frontispiece signed: I. McD. Publisher's advertisements on 3 pages at end. Also available in digital form.
"Now or never, or, The adventures of Bobby Bright",Fiction,Illustrations signed: Charles A. Cox. Also available in digital form.
"Switch off, or, The war of the students",Fiction,First published 1870. Publisher's advertisements on 14 pages at end. Also available in digital form.
"A stout heart, or, The student from over the sea",Fiction,Publisher's advertisements on 2 pages at end. Also available in digital form.
The worst boy,Fiction,"In original publisher's binding: red rib-grain cloth with title and author stamped in white, surrounded by black borders. LC copy is a copyright deposit. Also available in digital form."
Kitty Brown beginning to think,Fiction,"""Written for the American Sunday-School Union, and revised by the Committee of Publication."" Also available in digital form."
A modern exodus,Fiction,"Frontispiece signed: W.L. Tayor, J. Bower, sc. In original publisher's binding: red cloth with Eastlake-style decoration stamped in black and gilt on upper board and spine.  Includes title and publisher's monogram. Publisher's advertisements on 6 pages at end. LC copy is a copyright deposit: Jan. 24, 1891. Also available in digital form."
The Birds' Christmas carol,Fiction,"Name of publisher precedes place of publication on t.p. Blanck, J.  Peter Parley to Penrod, p. 86 LC copy has original cream-colored upper wrapper, with title and illustration printed in red, bound in the front. Also available in digital form."
Echoing and re-echoing,Fiction,"First published on 1878. In original publisher's binding: blue cloth stamped in red and green, with series stamped in gilt on upper board and author and title on spine. ""Pansy's latest books""--Page 2, first series. Publisher's advertisements on 8 unnumbered pages at end. LC copy is a copyright deposit: June 7, 1906. Also available in digital form."
"Silver pitchers ; and, Independence, a centennial love story",Fiction,"First published 1876. In original publisher's binding: green cloth with Eastlake-style decoration stamped in black and gilt on upper board and spine.  Includes a decorative pitcher stamped in silver on upper board. LC copy is a copyright deposit: May 7, 1904. Publisher's advertisements on 8 pages at end. Also available in digital form."
Little Button Rose,Fiction,"Reprinted from A garland for girls. One plate signed E. Pollock, line illustrations signed J.M.D. (Jessie McDermott). In original publisher's binding:  tan cloth with an illustration stamped in blue and brown of a girl looking over a wall, signed E.P. BAL ; 233 Ullom, J.C.  Alcott, 130 LC copy 1 is a copyright deposit: Aug. 1, 1901. Also available in digital form."
"The history of Tommy Two-Shoes, own brother to Mrs. Margery Two-Shoes.",Fiction,"""Embellished with cuts."" First and last leaves mounted inside printed wrapper. Shaw & Shoemaker 43932 Haviland, V.  Yankee Doodle's literary sampler, p. p. 84-88 Printer's advertisement on p. [31]; Alphabet on p. [4]."
Yankee Doodle : an old friend in a new dress,Fiction,"In verse. Eight full-page color illustrations.  Blue line illustrations are incorporated into the pages of text. LC copy is a copyright deposit: Oct. 13, 1881, no. 15793 M. Haviland, V.  Yankee Doodle's literary sampler, p. 249-259"
"The entertaining history of Giles Gingerbread, a little boy who lived upon learning.",Fiction,"""Adorned with copperplate engravings.""  Each plate has two illustrations; numbered 1-8. Attributed to John Newbery.  Cf. DNB; Mrs. E.M. Field, The child and his book;  Nichols' Lit. anec. v. 3, p. 465. Shaw & Shoemaker 21215 Welch, D.A.  Amer. children's books, 450.3 Haviland, V.  Yankee Doodle's literary sampler, p. 82-83"
Goody Two-Shoes : illuminated with ten pictures.,Fiction,"""With illustrations by W.H. Thwaites, engraved by the best artists""--Cover. In an illustrated stiff paper wrapper, with an advertisement on p. [4] for the series. Copyright 1855. Signatures: A-B⁸. Last page blank. ""Printed in oil colors, by Brown, Loomis & Co.""--Frontispiece.  Engraved t.p. and most ill. signed: N. Orr, one ill. signed: Bobbett-Hooper. Haviland, V.  Yankee Doodle's literary sampler, p. 93-101"
The pie and the patty-pan,Fiction,"""Copyright 1905""--Verso of t.p. LC copy is a copyright deposit.  Two copies received Nov 2, 1905.  Copyright entry Aug. 22, 1905 class a ... 124566 copy B. Formerly classified: PZ10.3.P47 Pi and PZ7.P85 P"
Blue Beard,Fiction,"In verse. 13 full-page illustrations included in pagination. Haviland, V.  Yankee Doodle's literary sampler, p. 133 With: Bayley, F.W.N. Jack the giant killer. New York: Burgess, Stringer & Co., 1845. LC copy has hand-colored illustrations."
Little Red Riding Hood,Fiction,"In verse. 11 full-page illustrations including in pagination. Haviland, V.  Yankee Doodle's literary sampler, p. 133 With: Bayley, F.W.N. Jack the giant killer. New York: Burgess, Stringer & Co., 1845. LC copy has hand-colored illustrations."
The tale of Jemima Puddle-Duck,Fiction,"Endpapers illustrated in colors. ""Copyright 1908""--T.p. verso. LC copy imperfect: endpapers damaged in rebinding, paste-downs removed. LC copy is a copyright deposit.  Two copies received Aug 17, 1908.  Copyright entry June 6, 1908 class A ... 208936 copy B. Formerly classified: PZ10.3.P47 Taj"
The tale of Tom Kitten,Fiction,"LC copy is a copyright deposit. Two copies received Sep 4, 1907. Copyright entry July 3, 1907 class A ... 180938 copy B. LC copy imperfect: p. 17-20, 23-24, 29-32, 41-44, 53-54, 81-84 wanting, and p. 39-40 torn. Formerly classified: PZ10.3.P47 Tatt"
The tale of Pigling Bland,Fiction,Publisher name printed between places of publication on t.p. LC copy has copyright stamp: Aad int. 1770. Formerly classified: PZ10.3.P47 Tar and PZ7.P85 Tar
The tale of Mr. Tod,Fiction,"""Copyright 1912."" LC copy is a copyright deposit: c A328654. Formerly classified: PZ10.3.P47 Tam2; tr. to RB 10-17-07"
The tale of Johnny Town-mouse,Fiction,"""Copyright 1918""--Verso of t.p. LC copy is a copyright deposit: A int. 3287, Nov 29, 1918. Formerly classified: PZ10.3.P47 Tajj"
The tale of Squirrel Nutkin,Fiction,"""Copyright 1903""--Verso of t.p. LC copy is a copyright deposit.  Two copies received Aug 22, 1903.  Copyright entry Aug 8, 1903 class A ... 65994 copy A. Formerly classified: PZ10.3.P47 Tas"
The tale of Mrs. Tiggy-Winkle,Fiction,"""Copyright 1905""--Verso of t.p. Illustrated endpapers. LC copy is a copyright deposit.  Two copies received Sep 23, 1905.  Copyright entry May 24, 1905 class a ... 117645 copy A. Formerly classified: PZ10.3.P47 Taki 1905"
The tale of Mr. Jeremy Fisher,Fiction,"""Copyright 1906""--Verso of t.p. Illustrated endpapers in color. LC copy is a copyright deposit.  Two copies received Jul 27, 1906.  Copyright entry June 7, 1906 class A ... 147696 copy B. Formerly classified: PZ10.3.P47 Tal 5"
Little Prudy,Fiction,"Sophie May is a pseudonym for Rebecca Sophia Clarke. Plates signed: Kilburn & Mallory. ""Electrotyped at the Boston Stereotype Foundry""--Verso of t.p. Haviland, V.  Yankee Doodle's literary sampler, p. 220-226 Blanck, J.  Peter Parley to Penrod, p. 21 The illustrations have the following captions: Prudy in the pines, Prudy's doll, The gypsy supper. In original publisher's binding:  blue cloth over boards with title gilt-stamped on spine. LC copy is a copyright deposit:  Deposited June 28, 1864, recorded vol. 38, page 762, no. 336."
